"","pais","psiquiatras","nurses","trabajadores_sociales","psicologos"
"1","Afghanistan",0.231,0.098,NA,0.296
"2","Albania",1.471,6.876,1.06,1.231
"3","Angola",0.057,0.66,0.022,0.179
"4","Antigua and Barbuda",1.001,7.005,4.003,NA
"5","Argentina",21.705,NA,NA,222.572
"6","Armenia",3.84,11.245,0.274,0.788
"7","Azerbaijan",3.452,6.717,0.114,1.165
"8","Bangladesh",0.13,0.873,NA,0.124
"9","Belarus",13.504,NA,NA,5.514
"10","Belize",1.392,3.34,NA,1.113
"11","Bhutan",0.508,0.127,NA,NA
"12","Bolivia (Plurinational State of)",1.128,NA,NA,NA
"13","Brazil",3.165,34.948,6.608,12.368
"14","Brunei Darussalam",1.197,15.088,0.239,5.029
"15","Bulgaria",7.203,17.736,0.78,1.867
"16","Burkina Faso",0.039,0.635,0.011,0.022
"17","Cambodia",0.387,0.277,NA,7.089
"18","Chad",0.007,0.021,0.007,NA
"19","Chile",6.97,1.88,NA,NA
"20","Colombia",1.835,0,NA,NA
"21","Congo",0.08,0.5,0.02,0.02
"22","Cook Islands",5.731,11.462,17.193,11.462
"23","Costa Rica",3.931,5.699,76.957,142.018
"24","C̫te d'Ivoire",0.13,0.381,NA,NA
"25","Croatia",11.095,41.856,1.298,4.367
"26","Cuba",9.056,8.899,1.335,31.061
"27","Dominican Republic",2.28,NA,0.294,7.598
"28","Ecuador",0.458,0.056,0.019,7.662
"29","Egypt",1.6,4.799,0.448,0.256
"30","El Salvador",0.887,NA,0.301,2.075
"31","Eritrea",NA,2.166,0.041,0.083
"32","Estonia",16.188,23.484,0.532,6.46
"33","Fiji",0.224,1.457,0.56,0.56
"34","Gabon",0.259,0.518,0.104,0.777
"35","Gambia",0.101,0.303,0.101,NA
"36","Georgia",6.706,5.922,NA,2.328
"37","Ghana",0.058,7.733,NA,0.065
"38","Greece",5.803,12.748,3.459,8.781
"39","Grenada",1.872,0.936,2.808,NA
"40","Guatemala",0.492,1.071,0.006,46.147
"41","Guinea",0.025,NA,0.008,0.008
"42","Guinea-Bissau",NA,0.791,0.169,0.113
"43","Guyana",0.911,NA,NA,0
"44","Haiti",0.075,0.233,0.373,0.56
"45","Hungary",11.079,33.739,NA,2.484
"46","India",0.292,0.796,0.065,0.069
"47","Indonesia",0.31,2.518,NA,0.175
"48","Israel",9.87,NA,NA,88.089
"49","Japan",11.867,83.805,8.328,3.037
"50","Jordan",1.125,3.297,0.218,1.266
"51","Kenya",0.184,NA,NA,NA
"52","Kyrgyzstan",1.688,7.365,NA,0.409
"53","Liberia",0.044,6.401,1.4,NA
"54","Lithuania",18.452,49.763,NA,15.86
"55","Madagascar",0.058,0.314,0.05,0.062
"56","Malaysia",1.048,6.838,NA,1.029
"57","Mali",0.029,0.092,NA,0.011
"58","Mexico",0.207,2.239,0.53,3.459
"59","Monaco",31.326,83.536,102.592,53.515
"60","Mongolia",4.031,4.199,0.101,0.101
"61","Montenegro",8.278,18.307,1.114,NA
"62","Morocco",0.839,2.451,0.646,0.575
"63","Mozambique",0.046,NA,0.018,0.389
"64","Myanmar",0.384,0.321,0.013,NA
"65","Namibia",0.371,0.907,0.206,1.443
"66","Nauru",NA,8.881,NA,NA
"67","Nepal",0.356,0.558,NA,0.523
"68","New Zealand",28.54,75.132,NA,NA
"69","Niger",0.014,0.126,0.028,0.019
"70","Norway",48.04,NA,NA,73.522
"71","Panama",4.031,3.452,9.221,7.331
"72","Peru",2.948,5.995,NA,9.507
"73","Philippines",0.518,NA,NA,0.885
"74","Poland",24.176,30.916,NA,16.346
"75","Qatar",2.712,9.933,0.115,1.413
"76","Republic of Korea",5.793,13.662,8.404,1.591
"77","Romania",5.665,18.71,0.503,1.479
"78","Rwanda",0.06,1.376,0.172,0.387
"79","Saint Lucia",0.564,50.788,0.564,NA
"80","Samoa",1.548,1.548,1.548,NA
"81","Sao Tome and Principe",0.511,4.602,0.511,3.068
"82","Saudi Arabia",1.321,10.66,3.955,2.034
"83","Senegal",0.2,0.267,0.067,0.02
"84","Seychelles",2.134,8.534,NA,3.2
"85","Singapore",4.191,NA,NA,NA
"86","Slovenia",11.953,36.727,1.976,9.302
"87","South Africa",1.521,NA,NA,NA
"88","South Sudan",0.025,0.017,NA,0.261
"89","Suriname",1.265,16.63,0.362,0.542
"90","Sweden",20.863,50.566,NA,NA
"91","Syrian Arab Republic",0.368,1.068,0.801,1.068
"92","Tajikistan",1.392,1.497,NA,NA
"93","Thailand",0.721,7.418,0.836,1.749
"94","Timor-Leste",0.081,1.37,1.612,0.081
"95","Togo",0.054,0.27,0.054,0.404
"96","Tonga",2.821,16.923,NA,1.88
"97","Turkey",1.637,150.251,1.643,2.537
"98","Uganda",0.082,2.242,0.037,0.037
"99","Ukraine",6.93,NA,NA,NA
"100","United Arab Emirates",1.649,4.37,0.36,0.765
"101","United States of America",10.542,4.283,60.338,29.864
"102","Uruguay",14.134,NA,NA,NA
"103","Uzbekistan",2.612,9.214,NA,0.09
"104","Vanuatu",0.378,4.535,0.378,0.756
"105","Yemen",0.201,0.323,0.056,0.409
"106","Zambia",0.056,1.429,0.019,0.031
"107","Zimbabwe",0.095,3.486,0.634,0.057
